Id,Label,type,budget,zip,interestPercentage
R001615,Robert Bosch Stiftung GmbH,Verein/Verband,980000.0,70184.0,0.0597014925373134
R005361,pro familia Bundesverband e. V.,Verein/Verband,980000.0,60326.0,0.0
R001636,Aurubis AG,Unternehmen,970000.0,20539.0,0.0
R000654,Verband deutscher Pfandbriefbanken (vdp) e. V. ,Verein/Verband,960000.0,10117.0,0.0384615384615384
R001753,BP Europa SE,Unternehmen,950000.0,20457.0,0.0512820512820512
R001434,Ärzte ohne Grenzen e.V.,Verein/Verband,950000.0,13359.0,0.0
R000611,Stadtwerke München GmbH,Unternehmen,950000.0,80992.0,0.0888888888888888
R001726,Lidl Stiftung & Co. KG,Unternehmen,940000.0,74172.0,0.09375
R002005,Gesamtverband der deutschen Textil- und Modeindustrie e.V.,Verein/Verband,940000.0,10117.0,0.0579710144927536
R002086,Deutscher Paritätischer Wohlfahrtsverband - Gesamtverband e. V. ,Verein/Verband,940000.0,10178.0,0.0481927710843373
R002392,VDI Verein Deutscher Ingenieure e.V.,Verein/Verband,940000.0,40468.0,0.0
R002489,UniCredit Bank AG,Unternehmen,930000.0,81925.0,0.0
R002154,Bundesverband WindEnergie e.V.,Verein/Verband,910000.0,10829.0,0.0
R002918,VTG GmbH,Unternehmen,910000.0,20097.0,0.0
R004061,HDF KINO e.V.,,900000.0,10178.0,0.1333333333333333
R003388,Metsä Tissue OYJ,Unternehmen,900000.0,,0.0277777777777777
R002772,BIO Deutschland e.V.,Verein/Verband,900000.0,10117.0,0.0
R003411,SCHUFA Holding AG,Unternehmen,880000.0,65201.0,0.2
R000765,Milchindustrie-Verband e.V.,Verein/Verband,880000.0,10117.0,0.0
R001371,Takeda Pharma Vertrieb GmbH & Co. KG,Unternehmen,880000.0,10783.0,0.0
R000415,DSLV Bundesverband Spedition und Logistik e.V.,Verein/Verband,870000.0,10117.0,0.0975609756097561
R000793,Bundesverband der Deutschen Süßwarenindustrie e. V. ,Verein/Verband,870000.0,53113.0,0.0
R002050,Lebensmittelverband Deutschland,Verein/Verband,870000.0,10117.0,0.0
